abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
UPPRT	uracil phosphoribosyltransferase	[c] : prpp + ura --> ppi + ump	b2498	2.4.2.9	(URACIL-PRIBOSYLTRANS-RXN)					
DURIPP	deoxyuridine phosphorylase	[c] : duri + pi <==> 2dr1p + ura	( b4382  or  b4384 )		(URA-PHOSPH-RXN)					
URIH	Uridine hydrolase	[c] : h2o + uri --> rib-D + ura	( b2162  or  b0651  or  b0030 )	3.2.2.8	(URIDINE-NUCLEOSIDASE-RXN)					
UPP3S	uroporphyrinogen-III synthase	[c] : hmbil --> h2o + uppg3	b3804	4.2.1.75	(UROGENIIISYN-RXN)					
PYNP2r	pyrimidine-nucleoside phosphorylase (uracil)	[c] : pi + uri <==> r1p + ura	b3831	2.4.2.2	(URPHOS-RXN)					
VPAMT	Valine-pyruvate aminotransferase	[c] : 3mob + ala-L --> pyr + val-L	b3572	2.6.1.66	(VALINE-PYRUVATE-AMINOTRANSFER-RXN)					
VALTRS	Valyl-tRNA synthetase	[c] : atp + trnaval + val-L --> amp + ppi + valtrna	b4258	6.1.1.9	(VALINE--TRNA-LIGASE-RXN)					
XPPT	xanthine phosphoribosyltransferase	[c] : prpp + xan --> ppi + xmp	b0238	2.4.2.22	(XANPRIBOSYLTRAN-RXN)					
PUNP7	purine-nucleoside phosphorylase (Xanthosine)	[c] : pi + xtsn <==> r1p + xan	b2407	2.4.2.1	(XANTHOSINEPHOSPHORY-RXN)					
XYLI1	xylose isomerase	[c] : xyl-D <==> xylu-D	b3565	5.3.1.5	(XYLISOM-RXN)					
12DGR120tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	12dgr120[p] --> 12dgr120[c]								
12DGR140tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	12dgr140[p] --> 12dgr140[c]								
12DGR141tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	12dgr141[p] --> 12dgr141[c]								
12DGR160tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	12dgr160[p] --> 12dgr160[c]								
12DGR161tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	12dgr161[p] --> 12dgr161[c]								
12DGR180tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	12dgr180[p] --> 12dgr180[c]								
12DGR181tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	12dgr181[p] --> 12dgr181[c]								
12PPDStpp	"(S)-Propane-1,2-diol facilitated transport (periplasm)"	12ppd-S[p] <==> 12ppd-S[c]								
14GLUCANabcpp	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	( b4034  and  b4033  and  b4032  and  b4035 )							
23DAPPAt2pp	"2,3-diaminopropionate transport in via proton symport"	23dappa[p] + h[p] --> 23dappa[c] + h[c]								
23PDE2pp	"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	[p] : 23cump + h2o --> 3ump + h	b4213	3.1.4.16						
23PDE4pp	"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	[p] : 23ccmp + h2o --> 3cmp + h	b4213	3.1.4.16						
23PDE7pp	"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	[p] : 23camp + h2o --> 3amp + h	b4213	3.1.4.16						
23PDE9pp	"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	[p] : 23cgmp + h2o --> 3gmp + h	b4213	3.1.4.16						
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpe120[p] --> 2agpe120[c]	b2835							
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpe140[p] --> 2agpe140[c]	b2835							
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpe141[p] --> 2agpe141[c]	b2835							
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpe160[p] --> 2agpe160[c]	b2835							
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpe161[p] --> 2agpe161[c]	b2835							
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpe180[p] --> 2agpe180[c]	b2835							
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpe181[p] --> 2agpe181[c]	b2835							
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi	b2836	2.3.1.40						
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi	b2836	2.3.1.40						
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi	b2836	2.3.1.40						
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi	b2836	2.3.1.40						
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi	b2836	2.3.1.40						
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi	b2836	2.3.1.40						
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpg160[p] --> 2agpg160[c]	b2835							
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpg161[p] --> 2agpg161[c]	b2835							
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi	b2836	2.3.1.40						
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi	b2836	2.3.1.40						
2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	[c] : 2dhglcn + h + nadh --> glcn + nad	b3553							
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	[c] : 2dhguln + h + nadh --> idon-L + nad	b3553							
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	[c] : 2mahmp + h2o --> 4ampm + h + pi	( b0446  or  b1134 )							
3NTD2pp	3'-nucleotidase (UMP) (periplasm)	[p] : 3ump + h2o --> pi + uri	b4213							
3NTD4pp	3'-nucleotidase (CMP) (periplasm)	[p] : 3cmp + h2o --> cytd + pi	b4213							
3NTD7pp	3'-nucleotidase (AMP) (periplasm)	[p] : 3amp + h2o --> adn + pi	b4213							
3NTD9pp	3'-nucleotidase (GMP) (periplasm)	[p] : 3gmp + h2o --> gsn + pi	b4213							
3OAS141	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2	b2323	2.3.1.41						
3PEPTabcpp	tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c]	( b1329  and  b1244  and  b1245  and  b1246  and  b1247 )							
42A12BOOXpp	"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"	[p] : dopa + h2o + o2 --> 34dhpac + h2o2 + nh4	b1386	1.4.3.6						
5DGLCNt2rpp	"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)"	5dglcn[p] + h[p] <==> 5dglcn[c] + h[c]	b4265							
AAMYL	alpha-amylase	[c] : 14glucan --> malthx	b1927							
AAMYLpp	alpha-amylase (periplasm)	[p] : 14glucan --> malthx	b3571							
AB6PGH	Arbutin 6-phosphate glucohydrolase	[c] : arbt6p + h2o --> g6p + hqn	b2901	3.2.1.86						
ACACt2pp	acetoacetate transport via proton symport  (periplasm)	acac[p] + h[p] <==> acac[c] + h[c]	b2223							
ACANTHAT	acetyl-CoA:anthranilate acetyltransferase	[c] : accoa + anth --> acanth + coa	b1463	2.3.1.118						
ACCOAC	acetyl-CoA carboxylase	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	( b0185  and  b2316  and  b3255  and  b3256 )	6.4.1.2						
ACGAL1PPpp	N-acetyl-D-galactosamine 1-phosphatase (periplasm)	[p] : acgal1p + h2o --> acgal + pi		3.1.3.10						
ACGAM1PPpp	N-acetyl-D-glucosamine 1-phosphatase (periplasm)	[p] : acgam1p + h2o --> acgam + pi		3.1.3.10						
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	[c] : acmum6p + h2o --> acgam6p + lac-D								
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)	acmana[p] + pep[c] --> acmanap[c] + pyr[c]	( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )							
ACMUMptspp	N-acetylmuramate transport via PEP:Pyr PTS (periplasm)	acmum[p] + pep[c] --> acmum6p[c] + pyr[c]	( b2417  and  b2429  and  b2415  and  b2416 )							
ACNAMtex	N-acetylneuraminate transport via diffusion (extracellular to periplasm)	acnam[e] <==> acnam[p]	( b4311  or  b0929  or  b2215 )							
ACOAD1f	acyl-CoA dehydrogenase (butanoyl-CoA)	[c] : btcoa + fad <==> b2coa + fadh2	b0221	1.3.99.2						
ACOAD2f	acyl-CoA dehydrogenase (hexanoyl-CoA)	[c] : fad + hxcoa <==> fadh2 + hx2coa	b0221	1.3.99.3						
ACOAD3f	acyl-CoA dehydrogenase (octanoyl-CoA)	[c] : fad + occoa <==> fadh2 + oc2coa	b0221	1.3.99.3						
ACOAD5f	acyl-CoA dehydrogenase (dodecanoyl-CoA)	[c] : ddcacoa + fad <==> dd2coa + fadh2	b0221	1.3.99.3						
ACOAD7f	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	[c] : fad + pmtcoa <==> fadh2 + hdd2coa	b0221	1.3.99.3						
ACOAD8f	acyl-CoA dehydrogenase (octadecanoyl-CoA)	[c] : fad + stcoa <==> fadh2 + od2coa	b0221	1.3.99.3						
ACOLIPAtex	arabinose modified core oligosaccharide lipid A transport via vector (periplasm to extracellular)	acolipa[p] --> acolipa[e]								
ACt4pp	Na+/Acetate symport (periplasm)	ac[p] + na1[p] --> ac[c] + na1[c]	b4067							
ADEt2rpp	adenine transport via proton symport (reversible) (periplasm)	ade[p] + h[p] <==> ade[c] + h[c]	b3654							
ADK3	adentylate kinase (GTP)	[c] : amp + gtp <==> adp + gdp	b0474							
ADK4	adentylate kinase (ITP)	[c] : amp + itp <==> adp + idp	b0474							
ADNtex	adenosine transport via diffusion (extracellular to periplasm)	adn[e] <==> adn[p]	b0411							
ADOCBLabcpp	Adenosylcobalamin transport via ABC system (periplasm)	adocbl[p] + atp[c] + h2o[c] --> adocbl[c] + adp[c] + h[c] + pi[c]	( b1711  and  b1709  and  b0158 )							
ADOCBLtonex	Adenosylcobalimin transport via ton system (extermal)	adocbl[e] + h[p] --> adocbl[p] + h[c]	( b3966  and  ( b1252  and  b3005  and  b3006 ) )							
AGt3	silver transport out via proton antiport	ag[c] + h[e] --> ag[e] + h[c]	( b0572  and  b0573  and  b0574  and  b0575 )							
AIRC2	phosphoribosylaminoimidazole carboxylase	[c] : air + atp + hco3 --> 5caiz + adp + h + pi	b0522							
ALAabcpp	L-alanine transport via ABC system (periplasm)	ala-L[p] + atp[c] + h2o[c] --> adp[c] + ala-L[c] + h[c] + pi[c]	( b3454  and  b3455  and  b3457  and  b3460  and  b3456 )							
ALAt2pp	L-alanine transport in via proton symport (periplasm)	ala-L[p] + h[p] --> ala-L[c] + h[c]	b4208							
ALATA_D2	D-alanine transaminase	[c] : ala-D + pydx5p --> pyam5p + pyr	( b0870  or  b2551 )							
ALATA_L2	alanine transaminase	[c] : ala-L + pydx5p --> pyam5p + pyr	( b2551  or  b0870 )							
ALCD19	alcohol dehydrogenase (glycerol)	[c] : glyald + h + nadh <==> glyc + nad	b0356	1.1.1.1						
ALDD3y	"aldehyde dehydrogenase (propanal, NADP)"	[c] : h2o + nadp + ppal --> (2) h + nadph + ppa	b3588							
ALDD4	"aldehyde dehydrogenase (butanal, NAD)"	[c] : btal + h2o + nad --> but + (2) h + nadh								
ALLTAMH	allantoate amidohydrolase	[c] : alltt + (2) h + (2) h2o --> co2 + (2) nh4 + urdglyc	b0516	3.5.3.9						
ALLTNt2rpp	allantoin transport in via proton symport (periplasm)	alltn[p] + h[p] <==> alltn[c] + h[c]	b0511							
ALPATE160pp	"apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)"	[p] : alpp + pe160 --> 2agpe160 + lpp	( b0657  and  b1677 )							
ALPATG160pp	"apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)"	[p] : alpp + pg160 --> 2agpg160 + lpp	( b0657  and  b1677 )							
AMALT2	Amylomaltase (maltotetraose)	[c] : malt + maltttr --> glc-D + maltpt	b3416	2.4.1.25						
AMALT3	Amylomaltase (maltopentaose)	[c] : malt + maltpt --> glc-D + malthx	b3416	2.4.1.25						
AMALT4	Amylomaltase (maltohexaose)	[c] : malt + malthx --> glc-D + malthp	b3416	2.4.1.25						
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	[c] : 2dmmql8 + amet --> ahcys + h + mql8	b3833							
AMPMS2	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	[c] : air + h2o + nad --> 4ampm + (2) for + (3) h + nadh	b3994							
ANHMK	"1,6-anhydrous-N-Acetylmuramate kinase"	[c] : anhm + atp + h2o --> acmum6p + adp + h	b1640							
ARBTNtex	aerobactin secretion (to extracellular)	arbtn[p] + h[p] --> arbtn[e] + h[c]								
ARBTNtpp	aerobactin secretion (to periplasm)	arbtn[c] + h[p] --> arbtn[p] + h[c]								
ARGDCpp	arginine decarboxylase	[p] : arg-L + h --> agm + co2	b2938	4.1.1.19						
ARGORNt7pp	arginine/ornithine antiporter (periplasm)	arg-L[p] + orn[c] <==> arg-L[c] + orn[p]	b1605							
ARGt3pp	L-arginine transport out via proton antiport (cytoplasm to periplasm)	arg-L[c] + h[p] --> arg-L[p] + h[c]	b2923							
ASCBPL	L-ascorbate 6-phosphate lactonase	[c] : ascb6p + h2o --> 3dhgulnp + h	b4192							
ASNabcpp	L-asparagine transport via ABC system (periplasm)	asn-L[p] + atp[c] + h2o[c] --> adp[c] + asn-L[c] + h[c] + pi[c]								
ASNNpp	L-asparaginase	[p] : asn-L + h2o --> asp-L + nh4	b2957	3.5.1.1						
ASPabcpp	L-aspartate transport via ABC system (periplasm)	asp-L[p] + atp[c] + h2o[c] --> adp[c] + asp-L[c] + h[c] + pi[c]	( b0655  and  b0654  and  b0653  and  b0652 )							
ASPO3	L-aspartate oxidase	[c] : asp-L + q8 --> h + iasp + q8h2	b2574							
ASPO4	L-aspartate oxidase	[c] : asp-L + mqn8 --> h + iasp + mql8	b2574							
ASPO5	L-aspartate oxidase	[c] : asp-L + fum --> h + iasp + succ	b2574							
ASR	arsenate reductase	[c] : aso4 + (2) gthrd --> aso3 + gthox + h2o	( b3503  and  b1064 )							
ATHRDHr	L-allo-threonine dehydrogenase	[c] : athr-L + nadp <==> 2aobut + h + nadph	b1539							
BALAt2pp	beta-alanine transport in via proton symport (periplasm)	ala-B[p] + h[p] --> ala-B[c] + h[c]	b4208							
BETALDHy	betaine-aldehyde dehydrogenase	[c] : betald + h2o + nadp --> glyb + (2) h + nadph	b0312	1.2.1.8						
BSORx	Biotin sulfoxide reductase	[c] : btnso + h + nadh --> btn + h2o + nad	b3551							
BSORy	Biotin sulfoxide reductase	[c] : btnso + h + nadph --> btn + h2o + nadp	b3551							
BUTSO3abcpp	butanesulfonate transport via ABC system (periplasm)	atp[c] + butso3[p] + h2o[c] --> adp[c] + butso3[c] + h[c] + pi[c]	( ( b0936  and  b0933  and  b0934 )  or  ( b0365  and  b0366  and  b0367 ) )							
BUTt2rpp	"Butyrate transport via proton symport, reversible (periplasm)"	but[p] + h[p] <==> but[c] + h[c]	b2223							
CADVtpp	Lysine/Cadaverine antiporter (periplasm)	15dap[c] + h[p] + lys-L[p] --> 15dap[p] + h[c] + lys-L[c]	b4132							
CBIAT	Cobinamide adenyltransferase	[c] : atp + cbi + h <==> adocbi + pppi	b1270	2.5.1.17						
CBItonex	Cobinamide transport via ton system (extermal)	cbi[e] + h[p] --> cbi[p] + h[c]	( b3966  and  ( b1252  and  b3005  and  b3006 ) )							
CBIuabcpp	"Cobinamide transport via ABC system (uptake, periplasm)"	atp[c] + cbi[p] + h2o[c] --> adp[c] + cbi[c] + h[c] + pi[c]	( b1711  and  b1709  and  b0158 )							
CBLAT	cob(I)alamin adenosyltransferase	[c] : atp + cbl1 + h <==> adocbl + pppi	b1270	2.5.1.17						
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi	( b0032  and  b0033 )	6.3.5.5						
CD2abcpp	Cadmium (Cd+2) ABC transporter (periplasm)	atp[c] + cd2[c] + h2o[c] --> adp[c] + cd2[p] + h[c] + pi[c]	b3469							
CD2t3pp	cadmium (Cd+2) transport out via proton antiport (periplasm)	cd2[c] + h[p] --> cd2[p] + h[c]	( b0752  or  b3915 )							
CD2tpp	cadmium (+2) transport in via permease (no H+)	cd2[p] --> cd2[c]	b3040							
CFAS160E	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)"	[c] : (2) amet + pe161 --> (2) ahcys + cpe160 + (2) h	b1661	2.1.1.79						
CFAS160G	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)"	[c] : (2) amet + pg161 --> (2) ahcys + cpg160 + (2) h	b1661	2.1.1.79						
CFAS180E	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)"	[c] : (2) amet + pe181 --> (2) ahcys + cpe180 + (2) h	b1661	2.1.1.79						
CFAS180G	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)"	[c] : (2) amet + pg181 --> (2) ahcys + cpg180 + (2) h	b1661	2.1.1.79						
CHLabcpp	choline transport via ABC system (periplasm)	atp[c] + chol[p] + h2o[c] --> adp[c] + chol[c] + h[c] + pi[c]	( b2128  and  b2129  and  b2130  and  b2131 )							
CINNDO	Cinnamate dioxygenase	[c] : cinnm + h + nadh + o2 --> cenchddd + nad	( b2538  and  b2539  and  b2540  and  b2542 )							
CLIPAtex	cold lipid A transport via vector (periplasm to extracellular)	lipa_cold[p] --> lipa_cold[e]								
CLPNH120pp	"cardiolipin hydrolase (periplasm, n-C12:0)"	[p] : clpn120 + h2o --> h + pa120 + pg120								
CLPNH140pp	"cardiolipin hydrolase (periplasm, n-C14:0)"	[p] : clpn140 + h2o --> h + pa140 + pg140								
CLPNH141pp	"cardiolipin hydrolase (periplasm, n-C14:1)"	[p] : clpn141 + h2o --> h + pa141 + pg141								
CLPNH160pp	"cardiolipin hydrolase (periplasm, n-C16:0)"	[p] : clpn160 + h2o --> h + pa160 + pg160								
CLPNH161pp	"cardiolipin hydrolase (periplasm, n-C16:1)"	[p] : clpn161 + h2o --> h + pa161 + pg161								
CLPNH180pp	"cardiolipin hydrolase (periplasm, n-C18:0)"	[p] : clpn180 + h2o --> h + pa180 + pg180								
CLPNH181pp	"cardiolipin hydrolase (periplasm, n-C18:1)"	[p] : clpn181 + h2o --> h + pa181 + pg181								
CLPNS120pp	"cardiolipin synthase (periplasmic, n-C12:0)"	[p] : (2) pg120 <==> clpn120 + glyc	( b1249  or  b0789 )							
CLPNS140pp	"cardiolipin synthase (periplasmic, n-C14:0)"	[p] : (2) pg140 <==> clpn140 + glyc	( b1249  or  b0789 )							
CLPNS141pp	"cardiolipin synthase (periplasmic, n-C14:1)"	[p] : (2) pg141 <==> clpn141 + glyc	( b1249  or  b0789 )							
CLPNS160pp	"cardiolipin synthase (periplasmic, n-C16:0)"	[p] : (2) pg160 <==> clpn160 + glyc	( b1249  or  b0789 )							
CLPNS161pp	"cardiolipin synthase (periplasmic, n-C16:1)"	[p] : (2) pg161 <==> clpn161 + glyc	( b1249  or  b0789 )							
CLPNS180pp	"cardiolipin synthase (periplasmic, n-C18:0)"	[p] : (2) pg180 <==> clpn180 + glyc	( b1249  or  b0789 )							
CLPNS181pp	"cardiolipin synthase (periplasmic, n-C18:1)"	[p] : (2) pg181 <==> clpn181 + glyc	( b1249  or  b0789 )							
CMPN	CMP nucleosidase	[c] : cmp + h2o --> csn + r5p		3.2.2.10						
COBALT2abcpp	Cobalt (Co+2) ABC transporter (periplasm)	atp[c] + cobalt2[c] + h2o[c] --> adp[c] + cobalt2[p] + h[c] + pi[c]	b3469							
COLIPAabcpp	core oligosaccharide lipid A transport via ABC system (periplasm)	atp[c] + colipa[c] + h2o[c] --> adp[c] + colipa[p] + h[c] + pi[c]	b0914							
COLIPAtex	core oligosaccharide lipid A transport via vector (periplasm to extracellular)	colipa[p] --> colipa[e]								
CPGNabcpp	coprogen transport via ABC system (periplasm)	atp[c] + cpgn[p] + h2o[c] --> adp[c] + cpgn[c] + h[c] + pi[c]	( b0153  and  b0151  and  b0152 )							
CRNabcpp	L-carnitine transport via ABC system (periplasm)	atp[c] + crn[p] + h2o[c] --> adp[c] + crn[c] + h[c] + pi[c]	( b2677  and  b2678  and  b2679 )							
CRNCAL2	Carnitine-CoA Ligase	[c] : atp + coa + crn --> adp + crncoa + pi	b0037							
CRNCBCT	crotonobetainyl-CoA: carnitine CoA transferase	[c] : crn + ctbtcoa <==> crncoa + ctbt	b0038							
CRNDabcpp	D-carnitine transport via ABC system (periplasm)	atp[c] + crn-D[p] + h2o[c] --> adp[c] + crn-D[c] + h[c] + pi[c]	( b2677  and  b2678  and  b2679 )							
CRNDCAL2	D-Carnitine-CoA Ligase	[c] : atp + coa + crn-D --> adp + crnDcoa + pi	b0037							
CRNDt2rpp	D-carnitine outward transport (H+ antiport)	crn-D[p] + h[p] <==> crn-D[c] + h[c]	b4111							
CRNt2rpp	L-carnitine outward transport (H+ antiport)	crn[p] + h[p] <==> crn[c] + h[c]	b4111							
CRNt8pp	L-carnitine/D-carnitine antiporter (periplasm)	crn[p] + crn-D[c] --> crn[c] + crn-D[p]	b0040							
CTBTabcpp	crotonobetaine transport via ABC system (periplasm)	atp[c] + ctbt[p] + h2o[c] --> adp[c] + ctbt[c] + h[c] + pi[c]	( b2677  and  b2678  and  b2679 )							
CTBTCAL2	Crotonobetaine-CoA Ligase	[c] : atp + coa + ctbt --> adp + ctbtcoa + pi	b0037							
CTBTt2rpp	cronobetaine outward transport (H+ antiport)	ctbt[p] + h[p] <==> ctbt[c] + h[c]	b4111							
CTPS2	CTP synthase (glutamine)	[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi	b2780	6.3.4.2						
CU1abcpp	Copper (Cu +1) ABC transporter (periplasm)	atp[c] + cu[c] + h2o[c] --> adp[c] + cu[p] + h[c] + pi[c]	b0484							
CU1Opp	Cuprous Oxidase (Cu+1)	[p] : (4) cu + (4) h + o2 --> (4) cu2 + (2) h2o	b0123							
CU2abcpp	Copper (Cu+2) ABC transporter (periplasm)	atp[c] + cu2[c] + h2o[c] --> adp[c] + cu2[p] + h[c] + pi[c]	b3469							
CU2tpp	copper transport in via permease (no H+)	cu2[p] --> cu2[c]	b3040							
CUt3	copper transport out via proton antiport	cu[c] + h[e] --> cu[e] + h[c]	( b0572  and  b0573  and  b0574  and  b0575 )							
CYANSTpp	Cyanide sulfurtransferase (periplasmic)	[p] : cyan + tsul --> h + so3 + tcynt	b1308	2.8.1.1						
CYNTAH	Cyanate aminohydrolase	[c] : cynt + (3) h + hco3 --> (2) co2 + nh4	b0340							
CYSabc2pp	L-cysteine export via ABC system (cytoplasm to periplasm)	atp[c] + cys-L[c] + h2o[c] --> adp[c] + cys-L[p] + h[c] + pi[c]	( b0886  and  b0887 )							
CYSabcpp	L-cysteine uptake via ABC system (periplasm)	atp[c] + cys-L[p] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c]								
CYSDabcpp	D-cysteine uptake via ABC system (periplasm)	atp[c] + cys-D[p] + h2o[c] --> adp[c] + cys-D[c] + h[c] + pi[c]								
CYTBD2pp	cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)	(2) h[c] + mql8[c] + (0.5) o2[c] --> (2) h[p] + h2o[c] + mqn8[c]	( b0978  and  b0979 )							
DAAD	D-Amino acid dehydrogenase	[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr	b1189	1.4.99.1						
DADNtex	deoxyadenosine transport via diffusion (extracellular to periplasm)	dad-2[e] <==> dad-2[p]	b0411							
DAPabcpp	M-diaminopimelic acid ABC transport (periplasm)	26dap-M[p] + atp[c] + h2o[c] --> 26dap-M[c] + adp[c] + h[c] + pi[c]								
DATPHs	dATP amine hydrolysis (spontaneous)	[c] : datp + h + h2o --> ditp + nh4	s0001							
DCYTtex	deoxycytidine transport via diffusion (extracellular to periplasm)	dcyt[e] <==> dcyt[p]	b0411							
DHAtpp	Dihydroxyacetone transport via facilitated diffusion (periplasm)	dha[p] <==> dha[c]								
